#!2theta	Int
#
0.00000	3.60000
0.00530	18.66768
0.01060	19.63798
0.01590	16.85428
0.02120	13.75162
0.02650	14.24186
0.03180	15.00000
0.03710	14.38314
0.04240	17.69276
0.04770	21.22868
0.05300	19.54624
0.05830	21.06336
0.06360	18.86658
0.06890	14.29304
0.07420	13.78466
0.07950	18.81000
0.08480	21.36464
0.09010	20.78440
0.09540	20.71106
0.10070	19.18628
0.10601	15.21436
0.11131	13.53960
0.11661	10.76042
0.12191	13.51184
0.12721	17.91112
0.13251	17.21724
0.13781	16.34236
0.14311	16.71998
0.14841	14.63250
0.15371	14.74854
0.15901	16.01660
0.16431	13.51606
0.16961	15.68894
0.17491	17.66014
0.18021	15.19650
0.18551	16.53278
0.19081	16.71642
0.19611	15.08850
0.20141	16.61456
0.20671	16.10090
0.21201	13.50954
0.21731	13.74294
0.22261	13.69870
0.22791	13.94480
0.23321	14.88904
0.23851	15.50324
0.24381	17.83394
0.24911	17.82598
0.25441	16.34488
0.25971	16.43062
0.26501	16.10870
0.27031	14.99746
0.27561	14.92172
0.28091	17.38130
0.28621	19.88246
0.29151	21.26038
0.29681	22.06028
0.30211	23.35148
0.30741	24.80040
0.31271	26.02974
0.31801	23.83576
0.32331	24.63302
0.32861	26.21774
0.33391	27.35718
0.33921	29.61674
0.34451	32.19330
0.34981	36.14146
0.35511	35.01418
0.36041	33.17174
0.36571	32.91238
0.37101	34.65120
0.37631	34.75602
0.38161	34.75040
0.38691	38.66466
0.39221	40.46536
0.39751	41.65674
0.40281	41.87450
0.40811	40.06742
0.41341	38.05460
0.41871	39.55470
0.42401	43.55162
0.42931	46.80634
0.43461	47.82584
0.43991	43.68766
0.44521	39.04348
0.45051	38.72866
0.45581	41.27862
0.46111	43.92864
0.46641	45.93022
0.47171	49.37094
0.47701	49.31336
0.48231	50.37408
0.48761	49.52370
0.49291	48.73236
0.49821	48.95108
0.50351	46.60556
0.50881	43.88722
0.51411	42.46700
0.51941	41.83128
0.52471	44.46666
0.53001	48.79128
0.53531	52.11412
0.54061	51.86736
0.54591	51.08740
0.55121	51.52524
0.55651	53.07120
0.56181	55.23510
0.56711	57.51694
0.57241	56.77188
0.57771	58.99242
0.58301	64.02124
0.58831	66.07148
0.59361	62.70798
0.59891	62.46494
0.60421	64.59678
0.60951	64.88012
0.61481	65.26316
0.62011	68.15780
0.62541	69.54766
0.63071	66.39598
0.63600	61.85876
0.64130	61.38902
0.64660	59.76590
0.65190	59.58178
0.65720	61.74732
0.66250	63.19634
0.66780	61.10888
0.67310	59.42254
0.67840	61.30756
0.68370	64.04188
0.68900	62.63468
0.69430	61.16832
0.69960	62.68970
0.70490	65.09360
0.71020	62.67168
0.71550	59.95534
0.72080	58.58584
0.72610	56.62508
0.73140	54.98874
0.73670	54.36872
0.74199	56.77334
0.74729	59.69364
0.75259	63.38624
0.75789	68.78286
0.76319	74.17680
0.76849	73.64992
0.77379	70.92292
0.77909	69.18368
0.78439	68.61476
0.78969	69.51114
0.79499	71.29734
0.80029	69.65568
0.80559	64.42526
0.81089	61.58706
0.81618	63.34108
0.82148	66.86472
0.82678	68.10184
0.83208	65.10090
0.83738	67.17636
0.84268	67.03458
0.84798	64.46464
0.85328	60.39478
0.85858	58.10372
0.86388	59.63728
0.86918	60.23828
0.87447	60.68256
0.87977	60.16176
0.88507	59.55634
0.89037	56.59542
0.89567	57.50748
0.90097	59.47456
0.90627	58.31752
0.91157	56.74870
0.91687	55.60344
0.92217	57.34828
0.92746	60.27430
0.93276	60.61824
0.93806	59.87212
0.94336	61.07558
0.94866	60.93816
0.95396	58.21362
0.95926	57.70274
0.96456	55.48102
0.96985	52.99944
0.97515	51.06934
0.98045	51.70632
0.98575	51.89142
0.99105	53.42508
0.99635	55.59220
1.00165	54.12276
1.00695	53.28732
1.01224	53.79072
1.01754	53.73856
1.02284	54.05796
1.02814	53.92242
1.03344	54.36620
1.03874	50.64476
1.04404	48.85288
1.04933	50.90618
1.05463	51.46418
1.05993	53.54934
1.06523	54.75160
1.07053	54.84176
1.07583	54.45090
1.08112	51.51204
1.08642	48.15420
1.09172	50.55144
1.09702	49.97864
1.10232	47.39862
1.10762	48.57208
1.11291	52.91980
1.11821	53.65262
1.12351	52.59212
1.12881	51.47994
1.13411	49.33770
1.13941	47.43046
1.14470	48.63888
1.15000	48.36314
1.15530	49.22326
1.16060	52.92132
1.16590	53.85720
1.17119	53.61894
1.17649	53.38876
1.18179	50.58530
1.18709	51.04472
1.19239	52.99510
1.19768	52.35728
1.20298	49.89404
1.20828	45.85856
1.21358	45.44128
1.21888	46.87718
1.22417	46.76304
1.22947	46.75000
1.23477	48.50918
1.24007	50.53802
1.24536	49.55666
1.25066	47.12666
1.25596	47.80212
1.26126	47.35666
1.26656	47.31394
1.27185	50.38404
1.27715	52.38782
1.28245	52.48556
1.28775	50.88336
1.29304	50.13906
1.29834	50.54156
1.30364	52.12500
1.30894	52.33872
1.31423	51.78696
1.31953	51.17140
1.32483	50.07654
1.33013	47.89488
1.33542	49.38786
1.34072	50.16100
1.34602	48.93258
1.35131	47.96924
1.35661	46.02836
1.36191	43.37278
1.36721	42.76468
1.37250	41.57582
1.37780	41.79506
1.38310	44.54606
1.38840	47.43260
1.39369	47.17458
1.39899	47.69892
1.40429	46.33630
1.40958	42.57322
1.41488	42.59072
1.42018	41.38726
1.42547	40.50664
1.43077	38.66052
1.43607	37.54540
1.44137	38.17600
1.44666	40.28180
1.45196	41.90386
1.45726	43.39968
1.46255	44.03490
1.46785	42.34036
1.47315	42.51052
1.47844	42.27802
1.48374	41.94726
1.48904	42.01764
1.49433	42.82002
1.49963	42.39134
1.50493	41.46666
1.51022	40.36108
1.51552	42.32542
1.52082	42.25136
1.52611	42.71028
1.53141	43.44484
1.53671	44.72000
1.54200	45.62562
1.54730	45.58860
1.55260	43.42932
1.55789	40.97404
1.56319	38.72004
1.56848	38.48042
1.57378	38.21804
1.57908	38.71046
1.58437	38.11088
1.58967	38.82510
1.59497	38.45452
1.60026	36.21550
1.60556	35.46974
1.61085	36.59796
1.61615	38.99148
1.62145	41.50108
1.62674	40.40612
1.63204	38.64758
1.63733	39.57008
1.64263	42.74142
1.64793	41.70498
1.65322	38.28066
1.65852	38.19832
1.66381	40.10056
1.66911	37.91534
1.67440	36.33616
1.67970	37.54980
1.68500	40.13086
1.69029	41.40448
1.69559	40.72388
1.70088	40.48672
1.70618	42.94762
1.71147	43.81526
1.71677	42.96446
1.72206	42.04364
1.72736	39.23534
1.73266	38.45132
1.73795	37.92802
1.74325	36.48316
1.74854	36.20808
1.75384	36.67116
1.75913	36.25512
1.76443	35.82230
1.76972	35.97914
1.77502	37.25828
1.78031	36.46976
1.78561	34.36948
1.79090	34.20128
1.79620	33.01564
1.80149	32.52556
1.80679	32.89824
1.81208	32.79894
1.81738	34.23182
1.82267	35.00628
1.82797	35.99950
1.83326	35.61122
1.83856	35.02836
1.84385	35.10288
1.84915	36.14368
1.85444	36.68456
1.85974	37.41552
1.86503	36.20534
1.87033	33.96114
1.87562	33.16392
1.88092	34.42268
1.88621	35.37388
1.89150	37.15930
1.89680	36.80908
1.90209	36.95204
1.90739	37.25566
1.91268	36.76192
1.91798	36.02028
1.92327	35.77492
1.92856	37.43646
1.93386	37.51554
1.93915	37.19516
1.94445	36.23468
1.94974	34.53694
1.95504	33.06748
1.96033	33.82772
1.96562	34.29932
1.97092	34.00920
1.97621	34.98064
1.98151	35.07672
1.98680	32.80324
1.99209	34.15308
1.99739	37.04630
2.00268	42.49992
2.00797	45.29164
2.01327	44.16408
2.01856	41.22498
2.02386	38.26576
2.02915	35.86270
2.03444	34.28266
2.03974	36.03358
2.04503	39.66934
2.05032	40.73926
2.05562	41.52106
2.06091	39.62338
2.06620	36.12092
2.07150	34.70766
2.07679	33.41382
2.08208	33.35192
2.08738	33.99256
2.09267	34.50024
2.09796	35.72272
2.10326	36.63898
2.10855	34.60114
2.11384	33.21570
2.11914	33.82684
2.12443	35.15522
2.12972	35.30362
2.13501	35.52824
2.14031	36.64098
2.14560	36.39680
2.15089	34.45488
2.15619	34.11746
2.16148	35.98912
2.16677	35.61816
2.17206	34.79112
2.17736	35.70304
2.18265	36.12890
2.18794	35.75704
2.19323	34.49008
2.19853	32.77170
2.20382	31.76286
2.20911	33.27220
2.21440	35.01194
2.21970	34.91876
2.22499	34.41132
2.23028	33.83106
2.23557	31.83282
2.24087	32.03332
2.24616	33.39656
2.25145	35.24632
2.25674	36.05566
2.26203	35.23926
2.26733	34.67636
