text_01.dat                                                                     
poles     1  0  0
      phi     theta      int
  -182.500     0.810     1.134
  -177.500     0.810     1.134
  -172.500     0.810     1.134
  -167.500     0.810     1.134
  -162.500     0.810     1.134
  -157.500     0.810     1.134
  -152.500     0.810     1.134
  -147.500     0.810     1.134
  -142.500     0.810     1.134
  -137.500     0.810     1.134
  -132.500     0.810     1.134
  -127.500     0.810     1.134
  -122.500     0.810     1.134
  -117.500     0.810     1.134
  -112.500     0.810     1.134
  -107.500     0.810     1.134
  -102.500     0.810     1.134
   -97.500     0.810     1.134
   -92.500     0.810     1.134
   -87.500     0.810     1.134
   -82.500     0.810     1.134
   -77.500     0.810     1.134
   -72.500     0.810     1.134
   -67.500     0.810     1.134
   -62.500     0.810     1.134
   -57.500     0.810     1.134
   -52.500     0.810     1.134
   -47.500     0.810     1.134
   -42.500     0.810     1.134
   -37.500     0.810     1.134
   -32.500     0.810     1.134
   -27.500     0.810     1.134
   -22.500     0.810     1.134
   -17.500     0.810     1.134
   -12.500     0.810     1.134
    -7.500     0.810     1.134
    -2.500     0.810     1.134
     2.500     0.810     1.134
     7.500     0.810     1.134
    12.500     0.810     1.134
    17.500     0.810     1.134
    22.500     0.810     1.134
    27.500     0.810     1.134
    32.500     0.810     1.134
    37.500     0.810     1.134
    42.500     0.810     1.134
    47.500     0.810     1.134
    52.500     0.810     1.134
    57.500     0.810     1.134
    62.500     0.810     1.134
    67.500     0.810     1.134
    72.500     0.810     1.134
    77.500     0.810     1.134
    82.500     0.810     1.134
    87.500     0.810     1.134
    92.500     0.810     1.134
    97.500     0.810     1.134
   102.500     0.810     1.134
   107.500     0.810     1.134
   112.500     0.810     1.134
   117.500     0.810     1.134
   122.500     0.810     1.134
   127.500     0.810     1.134
   132.500     0.810     1.134
   137.500     0.810     1.134
   142.500     0.810     1.134
   147.500     0.810     1.134
   152.500     0.810     1.134
   157.500     0.810     1.134
   162.500     0.810     1.134
   167.500     0.810     1.134
   172.500     0.810     1.134
   177.500     0.810     1.134
   182.500     0.810     1.134
  -182.500     7.729     1.228
  -177.500     7.729     1.228
  -172.500     7.729     1.358
  -167.500     7.729     1.099
  -162.500     7.729     1.023
  -157.500     7.729     0.707
  -152.500     7.729     0.480
  -147.500     7.729     0.368
  -142.500     7.729     0.231
  -137.500     7.729     0.206
  -132.500     7.729     0.206
  -127.500     7.729     0.231
  -122.500     7.729     0.368
  -117.500     7.729     0.480
  -112.500     7.729     0.707
  -107.500     7.729     1.023
  -102.500     7.729     1.099
   -97.500     7.729     1.358
   -92.500     7.729     1.228
   -87.500     7.729     1.228
   -82.500     7.729     1.358
   -77.500     7.729     1.099
   -72.500     7.729     1.023
   -67.500     7.729     0.707
   -62.500     7.729     0.480
   -57.500     7.729     0.368
   -52.500     7.729     0.231
   -47.500     7.729     0.206
   -42.500     7.729     0.206
   -37.500     7.729     0.231
   -32.500     7.729     0.368
   -27.500     7.729     0.480
   -22.500     7.729     0.707
   -17.500     7.729     1.023
   -12.500     7.729     1.099
    -7.500     7.729     1.358
    -2.500     7.729     1.228
     2.500     7.729     1.228
     7.500     7.729     1.358
    12.500     7.729     1.099
    17.500     7.729     1.023
    22.500     7.729     0.707
    27.500     7.729     0.480
    32.500     7.729     0.368
    37.500     7.729     0.231
    42.500     7.729     0.206
    47.500     7.729     0.206
    52.500     7.729     0.231
    57.500     7.729     0.368
    62.500     7.729     0.480
    67.500     7.729     0.707
    72.500     7.729     1.023
    77.500     7.729     1.099
    82.500     7.729     1.358
    87.500     7.729     1.228
    92.500     7.729     1.228
    97.500     7.729     1.358
   102.500     7.729     1.099
   107.500     7.729     1.023
   112.500     7.729     0.707
   117.500     7.729     0.480
   122.500     7.729     0.368
   127.500     7.729     0.231
   132.500     7.729     0.206
   137.500     7.729     0.206
   142.500     7.729     0.231
   147.500     7.729     0.368
   152.500     7.729     0.480
   157.500     7.729     0.707
   162.500     7.729     1.023
   167.500     7.729     1.099
   172.500     7.729     1.358
   177.500     7.729     1.228
   182.500     7.729     1.228
  -182.500    12.308     1.195
  -177.500    12.308     1.195
  -172.500    12.308     1.235
  -167.500    12.308     1.394
  -162.500    12.308     1.163
  -157.500    12.308     1.206
  -152.500    12.308     1.304
  -147.500    12.308     1.414
  -142.500    12.308     1.589
  -137.500    12.308     1.128
  -132.500    12.308     1.128
  -127.500    12.308     1.589
  -122.500    12.308     1.414
  -117.500    12.308     1.304
  -112.500    12.308     1.206
  -107.500    12.308     1.163
  -102.500    12.308     1.394
   -97.500    12.308     1.235
   -92.500    12.308     1.195
   -87.500    12.308     1.195
   -82.500    12.308     1.235
   -77.500    12.308     1.394
   -72.500    12.308     1.163
   -67.500    12.308     1.206
   -62.500    12.308     1.304
   -57.500    12.308     1.414
   -52.500    12.308     1.589
   -47.500    12.308     1.128
   -42.500    12.308     1.128
   -37.500    12.308     1.589
   -32.500    12.308     1.414
   -27.500    12.308     1.304
   -22.500    12.308     1.206
   -17.500    12.308     1.163
   -12.500    12.308     1.394
    -7.500    12.308     1.235
    -2.500    12.308     1.195
     2.500    12.308     1.195
     7.500    12.308     1.235
    12.500    12.308     1.394
    17.500    12.308     1.163
    22.500    12.308     1.206
    27.500    12.308     1.304
    32.500    12.308     1.414
    37.500    12.308     1.589
    42.500    12.308     1.128
    47.500    12.308     1.128
    52.500    12.308     1.589
    57.500    12.308     1.414
    62.500    12.308     1.304
    67.500    12.308     1.206
    72.500    12.308     1.163
    77.500    12.308     1.394
    82.500    12.308     1.235
    87.500    12.308     1.195
    92.500    12.308     1.195
    97.500    12.308     1.235
   102.500    12.308     1.394
   107.500    12.308     1.163
   112.500    12.308     1.206
   117.500    12.308     1.304
   122.500    12.308     1.414
   127.500    12.308     1.589
   132.500    12.308     1.128
   137.500    12.308     1.128
   142.500    12.308     1.589
   147.500    12.308     1.414
   152.500    12.308     1.304
   157.500    12.308     1.206
   162.500    12.308     1.163
   167.500    12.308     1.394
   172.500    12.308     1.235
   177.500    12.308     1.195
   182.500    12.308     1.195
  -182.500    16.966     0.712
  -177.500    16.966     0.712
  -172.500    16.966     0.955
  -167.500    16.966     0.925
  -162.500    16.966     0.717
  -157.500    16.966     0.768
  -152.500    16.966     0.773
  -147.500    16.966     1.441
  -142.500    16.966     1.297
  -137.500    16.966     1.517
  -132.500    16.966     1.517
  -127.500    16.966     1.297
  -122.500    16.966     1.441
  -117.500    16.966     0.773
  -112.500    16.966     0.768
  -107.500    16.966     0.717
  -102.500    16.966     0.925
   -97.500    16.966     0.955
   -92.500    16.966     0.712
   -87.500    16.966     0.712
   -82.500    16.966     0.955
   -77.500    16.966     0.925
   -72.500    16.966     0.717
   -67.500    16.966     0.768
   -62.500    16.966     0.773
   -57.500    16.966     1.441
   -52.500    16.966     1.297
   -47.500    16.966     1.517
   -42.500    16.966     1.517
   -37.500    16.966     1.297
   -32.500    16.966     1.441
   -27.500    16.966     0.773
   -22.500    16.966     0.768
   -17.500    16.966     0.717
   -12.500    16.966     0.925
    -7.500    16.966     0.955
    -2.500    16.966     0.712
     2.500    16.966     0.712
