text_1.dat                                                                      
poles     0  0  1
      phi     theta      int
  -182.500     0.810     5.522
  -177.500     0.810     5.522
  -172.500     0.810     5.522
  -167.500     0.810     5.522
  -162.500     0.810     5.522
  -157.500     0.810     5.522
  -152.500     0.810     5.522
  -147.500     0.810     5.522
  -142.500     0.810     5.522
  -137.500     0.810     5.522
  -132.500     0.810     5.522
  -127.500     0.810     5.522
  -122.500     0.810     5.522
  -117.500     0.810     5.522
  -112.500     0.810     5.522
  -107.500     0.810     5.522
  -102.500     0.810     5.522
   -97.500     0.810     5.522
   -92.500     0.810     5.522
   -87.500     0.810     5.522
   -82.500     0.810     5.522
   -77.500     0.810     5.522
   -72.500     0.810     5.522
   -67.500     0.810     5.522
   -62.500     0.810     5.522
   -57.500     0.810     5.522
   -52.500     0.810     5.522
   -47.500     0.810     5.522
   -42.500     0.810     5.522
   -37.500     0.810     5.522
   -32.500     0.810     5.522
   -27.500     0.810     5.522
   -22.500     0.810     5.522
   -17.500     0.810     5.522
   -12.500     0.810     5.522
    -7.500     0.810     5.522
    -2.500     0.810     5.522
     2.500     0.810     5.522
     7.500     0.810     5.522
    12.500     0.810     5.522
    17.500     0.810     5.522
    22.500     0.810     5.522
    27.500     0.810     5.522
    32.500     0.810     5.522
    37.500     0.810     5.522
    42.500     0.810     5.522
    47.500     0.810     5.522
    52.500     0.810     5.522
    57.500     0.810     5.522
    62.500     0.810     5.522
    67.500     0.810     5.522
    72.500     0.810     5.522
    77.500     0.810     5.522
    82.500     0.810     5.522
    87.500     0.810     5.522
    92.500     0.810     5.522
    97.500     0.810     5.522
   102.500     0.810     5.522
   107.500     0.810     5.522
   112.500     0.810     5.522
   117.500     0.810     5.522
   122.500     0.810     5.522
   127.500     0.810     5.522
   132.500     0.810     5.522
   137.500     0.810     5.522
   142.500     0.810     5.522
   147.500     0.810     5.522
   152.500     0.810     5.522
   157.500     0.810     5.522
   162.500     0.810     5.522
   167.500     0.810     5.522
   172.500     0.810     5.522
   177.500     0.810     5.522
   182.500     0.810     5.522
  -182.500     7.729     5.068
  -177.500     7.729     5.068
  -172.500     7.729     3.272
  -167.500     7.729     3.008
  -162.500     7.729     3.053
  -157.500     7.729     3.360
  -152.500     7.729     3.789
  -147.500     7.729     3.880
  -142.500     7.729     4.626
  -137.500     7.729     4.284
  -132.500     7.729     4.284
  -127.500     7.729     4.626
  -122.500     7.729     3.880
  -117.500     7.729     3.789
  -112.500     7.729     3.360
  -107.500     7.729     3.053
  -102.500     7.729     3.008
   -97.500     7.729     3.272
   -92.500     7.729     5.068
   -87.500     7.729     5.068
   -82.500     7.729     3.272
   -77.500     7.729     3.008
   -72.500     7.729     3.053
   -67.500     7.729     3.360
   -62.500     7.729     3.789
   -57.500     7.729     3.880
   -52.500     7.729     4.626
   -47.500     7.729     4.284
   -42.500     7.729     4.284
   -37.500     7.729     4.626
   -32.500     7.729     3.880
   -27.500     7.729     3.789
   -22.500     7.729     3.360
   -17.500     7.729     3.053
   -12.500     7.729     3.008
    -7.500     7.729     3.272
    -2.500     7.729     5.068
     2.500     7.729     5.068
     7.500     7.729     3.272
    12.500     7.729     3.008
    17.500     7.729     3.053
    22.500     7.729     3.360
    27.500     7.729     3.789
    32.500     7.729     3.880
    37.500     7.729     4.626
    42.500     7.729     4.284
    47.500     7.729     4.284
    52.500     7.729     4.626
    57.500     7.729     3.880
    62.500     7.729     3.789
    67.500     7.729     3.360
    72.500     7.729     3.053
    77.500     7.729     3.008
    82.500     7.729     3.272
    87.500     7.729     5.068
    92.500     7.729     5.068
    97.500     7.729     3.272
   102.500     7.729     3.008
   107.500     7.729     3.053
   112.500     7.729     3.360
   117.500     7.729     3.789
   122.500     7.729     3.880
   127.500     7.729     4.626
   132.500     7.729     4.284
   137.500     7.729     4.284
   142.500     7.729     4.626
   147.500     7.729     3.880
   152.500     7.729     3.789
   157.500     7.729     3.360
   162.500     7.729     3.053
   167.500     7.729     3.008
   172.500     7.729     3.272
   177.500     7.729     5.068
   182.500     7.729     5.068
  -182.500    12.308     5.468
  -177.500    12.308     5.468
  -172.500    12.308     6.104
  -167.500    12.308     5.975
  -162.500    12.308     5.123
  -157.500    12.308     4.377
  -152.500    12.308     4.641
  -147.500    12.308     4.662
  -142.500    12.308     4.316
  -137.500    12.308     4.005
  -132.500    12.308     4.005
  -127.500    12.308     4.316
  -122.500    12.308     4.662
  -117.500    12.308     4.641
  -112.500    12.308     4.377
  -107.500    12.308     5.123
  -102.500    12.308     5.975
   -97.500    12.308     6.104
   -92.500    12.308     5.468
   -87.500    12.308     5.468
   -82.500    12.308     6.104
   -77.500    12.308     5.975
   -72.500    12.308     5.123
   -67.500    12.308     4.377
   -62.500    12.308     4.641
   -57.500    12.308     4.662
   -52.500    12.308     4.316
   -47.500    12.308     4.005
   -42.500    12.308     4.005
   -37.500    12.308     4.316
   -32.500    12.308     4.662
   -27.500    12.308     4.641
   -22.500    12.308     4.377
   -17.500    12.308     5.123
   -12.500    12.308     5.975
    -7.500    12.308     6.104
    -2.500    12.308     5.468
     2.500    12.308     5.468
     7.500    12.308     6.104
    12.500    12.308     5.975
    17.500    12.308     5.123
    22.500    12.308     4.377
